List of Designated Securities Eligible for Short Selling,
Effective date : 11/03/2019,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
479,1899,XINGDA INT'L,HKD,EQTY,,,
480,1908,C&D INTL GROUP,HKD,EQTY,,,
481,1910,SAMSONITE,HKD,EQTY,,,
482,1911,CR HOLDINGS,HKD,EQTY,,,
483,1913,PRADA,HKD,EQTY,,,
484,1916,JIANGXI BANK,HKD,EQTY,,,
485,1918,SUNAC,HKD,EQTY,,,
486,1919,COSCO SHIP HOLD,HKD,EQTY,,,
487,1928,SANDS CHINA LTD,HKD,EQTY,,,
488,1929,CHOW TAI FOOK,HKD,EQTY,,,
489,1958,BAIC MOTOR,HKD,EQTY,,,
490,1963,BCQ,HKD,EQTY,,,
491,1966,CHINA SCE GROUP,HKD,EQTY,,,
492,1970,IMAX CHINA,HKD,EQTY,,,
493,1972,SWIREPROPERTIES,HKD,EQTY,,,
494,1980,TIANGE,HKD,EQTY,,,
495,1988,MINSHENG BANK,HKD,EQTY,,,
496,1996,RSUN PPT,HKD,EQTY,,,
497,1997,WHARF REIC,HKD,EQTY,,,
498,1999,MAN WAH HLDGS,HKD,EQTY,,,
499,2001,NEW HIGHER EDU,HKD,EQTY,,,
500,2003,VCREDIT,HKD,EQTY,,,
501,2005,SSY GROUP,HKD,EQTY,,,
502,2006,JINJIANG HOTELS,HKD,EQTY,,,
503,2007,COUNTRY GARDEN,HKD,EQTY,,,
504,2009,BBMG,HKD,EQTY,,,
505,2014,OZNER WATER,HKD,EQTY,,,
506,2016,CZBANK,HKD,EQTY,,,
507,2018,AAC TECH,HKD,EQTY,,,
508,2020,ANTA SPORTS,HKD,EQTY,,,
509,2038,FIH,HKD,EQTY,,,
510,2039,CIMC,HKD,EQTY,,,
511,2048,E-HOUSE ENT,HKD,EQTY,,,
512,2051,51 CREDIT CARD,HKD,EQTY,,,
